Категория,Значение
B,26283.44825478701
B,179047.35581120924
B,669702.1269982589
A,964508.1780485096
B,398797.8411048573
B,376809.8345663408
A,447926.1960401988
B,352302.54007345485
B,479527.50970080425
A,747189.2669127367
D,922788.412931233
A,268405.93782069976
B,547250.1605810835
C,93221.71786056332
D,120742.37279447108
D,788183.9174614262
D,756862.4986609106
B,752182.1346715793
B,729048.8687806794
C,196918.02858427598
B,155521.00105804735
C,531869.3968560115
C,912905.4680995229
C,29205.755544777225
B,201206.26082894832
C,430884.50442790316
C,772795.3977642288
D,37389.99835698065
B,382819.03631031065
A,369701.8254148873
C,27213.708449212558
D,898046.6484536215
A,916629.3646247681
B,370040.26140289905
A,942396.0004809428
D,12366.90447111699
C,18985.089613782537
D,732133.6783203172
B,296846.12070942763
A,184307.2899262741
D,396857.4105338728
D,276172.7381696386
B,444803.70815212576
C,363910.7005525394
A,466621.1928642484
C,421754.3941828322
B,474281.8822396459
D,425937.5820369209
B,782190.5591770902
D,24481.54657186563
B,132914.9165127732
D,227982.60765407374
A,649277.6058778331
B,839780.098012993
C,494868.3248045639
C,57347.334091229386
C,609707.2991597574
C,525678.6929594879
A,731193.981401612
D,859476.4511999857
B,912168.7780769698
D,675425.3557775462
D,266554.94647977105
B,412993.5484035836
A,278888.3272184668
A,450869.54477946827
B,398243.7739559924
A,158523.28744490718
D,923064.2472943646
A,266375.5378152739
B,413146.5877365433
D,373008.1098608923
D,507056.54138145305
C,94935.21050608234
B,148712.4826692937
C,287350.1638693382
A,510316.6927660947
D,570379.9189196781
C,949111.3445866002
B,559723.3256678882
C,837262.6594833926
A,279963.24901387125
B,400148.6287735763
B,177269.29407976134
A,94645.55157784704
B,937025.9228075566
D,135497.563665417
B,122331.27798127219
B,276117.6400704942
C,549971.6106921097
A,361775.45183304214
B,6902.4826947102765
B,405807.90362491546
D,807302.3166739622
B,520755.50953147607
D,651947.9498759696
C,524467.2949596145
D,57071.678322862754
C,66233.72119384963
C,963291.6893620646
C,510623.54556542676
A,431506.3712024119
A,237334.0604530817
B,663188.0682217007
B,278016.800175851
A,800887.5596519546
C,285023.9830131223
D,823516.7201681051
C,93605.40270987472
D,6077.259473574847
C,895727.7813320438
C,795662.9592588877
D,708598.2627296915
D,647731.2503328695
A,123612.23232250374
A,843863.5409136696
C,399893.5374750081
A,792288.9575101754
A,100534.28712205503
D,609401.1232482308
D,515012.30402266496
D,290821.5697736483
B,400369.1447024105
B,313010.73843156104
A,657346.7007389695
D,122966.94613828474
B,128489.00868391467
A,965760.820881322
C,292892.53381494316
A,992488.8445148113
C,521040.6303910486
B,612337.2904438968
D,858279.6524572029
C,48198.713712166216
B,957966.9620648987
C,197150.31478089263
A,762111.0496435125
A,611605.5022036169
A,208478.7609178148
C,7429.313163243467
C,951397.0559489711
B,873097.8182259153
D,315704.178498886
B,253637.569668016
B,942983.0122908652
A,118357.29186662192
B,652034.0418574231
A,265669.06286773906
C,294939.06176081684
B,722400.7275408091
B,94805.69328017774
A,75412.79325667839
B,71569.75829758217
